cleaned_text,labels
i was walking home late at night from lectures and someone deliberately started following me it was dark and i was scared,fear
at one of my close friends saying she did not like the way i am nice to people i do not know or who have been nasty to me,anger
leaving melbourne to move interstate leaving relatives and friends behind,sadness
disgust at a girl i know for continually feeling sorry for herself and never acting positively to do something about her problems,disgust
i am ashamed of the horrible way i used to treat my little sister,shame
often i forget to give my immediate family birthday presents,guilt
i noticed that beryl street and i had similar cheekbones and jaw structure,joy
i do not recall being scared in the near past,fear
as for disgust,anger
girl i was fond of did not initiate conversation as i expected in tutorial,sadness
i realized that someone was insidiously attempting to shit me off i was disgusted with him for doing so because i afforded him with no excuse to do so,disgust
i do not seem to feel emotion such as shame guilt or fear far out,shame
i cannot recall feeling guilty in the near past remark subject may not have taken the exercise very seriously,guilt
when i was complimented and called delightful,joy
when my mother was angry with me over my friends and boyfriend,fear
anger towards my lover for being late,anger
the death of my twin sister suicide,sadness
disgust with myself for consistently making foolish errors in communicating with others asking for keg of nuts when i only wanted g,disgust
i had been rude to my mother at a time when she needed comforting not anger death of my sister,shame
guilt because i had not written to my sister for months before she died,guilt
my current lover and i had been very busy with work and study and had not had time alone together for almost a month until one afternoon recently when we made love for hours and then showered and ate together,joy
a workmate and i had been antagonistic with each other for some weeks he had reacted violently to my criticisms of his work standards,fear
i had been having a heated argument with a lover whose intention was that we should marry in the near future and was rejected by her when i started to cry when i stopped crying for a moment she said there have you got it all out now,anger
i was alone in my parents house having made plans to spend the afternoon with a lover plans which the lover cancelled watching a movie and considering my life and circumstances pressures of examinations in particular,sadness
i discovered some pornographic literature in a workmates drawers the literature featured pictures of naked women defecating on one another,disgust
upon returning from a journey of about two weeks duration i found that a collection of pornographic literature had been removed from my room i had previously thought that no one was aware of the existence of this material,shame
my mother and father had forbidden me to ride my scooter on the road and i had transgressed together with the wild kids from across the street by riding my scooter down a steep hill near our house my mother sent the boy next door to collect me and i was severely scolded,guilt
blank,joy
after going through a glass door i sustained a number of serious cuts which were gaping open,fear
the mother of a person with whom we had been sharing a housing accused me of trying to rip her off over payment of bills in the house,anger
watching am they had a programmed on the starving refugees their plight was a source of sadness for me,sadness
a girl with whom i was staying having sex with a person for about nights running and then with his brother the following night and back again,disgust
during an argument an acquaintance accused me of having insulted her parents by having had sex in their house which they overheard,shame
a girl whom i had not seen for a period of time told me that she had been pregnant and had an abortion i was the father,guilt
when my boyfriend last told me he loved me after i gave him an impulsive kiss,joy
when my boyfriend was leaving to go home one night i had a very deep sense of uneasiness and an unwarranted fear that i would not see him again,fear
anger with boyfriends best friend for alienating me and blaming me for personality changes in my boyfriend and changes in my boyfriends attitude to him and his obvious egoistical attitude himself in doing so i also lost one of my best friends his girlfriend,anger
death of paternal grandmother to whom i was very close died of cancer,sadness
disgust with oneself after being intoxicated enough to go to bed with a stranger,disgust
i feel shame every time i think of very dear friends of mine abroad who were family to me for a year and now years later i have attempted but have not actually gone through with corresponding with them to express my feelings and gratitude,shame
after being told that an boyfriend had been hurt by my wearing something he had given me when i was with another guy i was unaware of my actions really as i had not considered the fact that he had given it to me and might see me i still respected his opinions of me,guilt
when i thought that my high school love and i had a mutual emotion,joy
i was on my surf ski rather large waves to strong current separated me from my ski and we both began to drift slowly actually rather quickly away to sea the direction i was drifting in was taking me straight over a reef on which rather large sharks were constantly being caught i was alone with no one to help me,fear
i was enjoying the company of bird life while i was eating lunch in a park when a group of people began throwing sticks at some of the birds for no reason other than the satisfaction of seeing them being scared away,anger
when i left my sisters house after staying there for a few days she has two little boys and they are very warm people the family at the time i was in need of this sort of contact and i grew very fond of children no i am not a pedophilia,sadness
when my father revealed inconsistent morals,disgust
when i woke up after a night of drinking i could not remember and discovered several untoward things had occurred,shame
leaving home when my mother thought i had no reason to go and felt that i was rejecting her she is a constantly depressed person a bit of a worrywart and i felt guilty about having given her this additional problem,guilt
id just got the top mark in an exam,joy
my brother and i were driving to brisance when he drove back onto the road perhaps cutting off another car but not noticeable this driver did his best to drive us off the road for about an hour,fear
i was at the corner shop which i patronize regularly i had only a note and i purchased about worth of goods that i really needed the keeper made sarcastic remarks to others about people using him to cash notes,anger
my mother died of cancer after a year illness i think the most pregnant moment of sadness was the next morning just as the sun rose,sadness
a lecturer in great detail spoke about his sexual experiences,disgust
i was walking outside the union refer after rain when i tripped and fell,shame
i stole from my mothers purse for a chowchow bar i was,guilt
on a sailing boat at night under a full moon listening to pink flood drinking good wine with good company the boat being steered by autopilot and a full eclipse of the moon,joy
fear of sexual overtures from a close relative in the family,fear
when my rights to use a shared house had been usurped by owners out of pure selfishness,anger
at rejection being ignored by a loved person held in great esteem,sadness
viewing the nuclear war film threads,disgust
following heavy stirring ridiculing a close friend who was very vulnerable to such attack inspiring fierce defensive counterattack,shame
guilt at having pressed another person to exposeexplore his personal weaknessesfaults to the extent that the other person was made to feel terribledefensive,guilt
family member survived an operation,joy
i was walking to my car at night and thought that i was being followed,fear
i walked in on a teenage patient of mine i work in a hospital as he was going through my office drawers and he had removed money from my purse,anger
death of grandmother,sadness
when i became aware that an acquaintance had stolen from friends,disgust
caught cheating on a diet,shame
i had shown anger toward my dog and he was killed later that day,guilt
a close married friend has just had his first child,joy
stranded in the north of eraser island with a submerged we hire vehicle,fear
not being allowed on a school camp with the class id been in for years i had stayed down due to illness,anger
at the funeral of a friend about years old who was killed in a hitandrun motorcycle accident,sadness
a female friend was violently ill on the return journey from a wedding reception we attended getting her out of the car when home took quite a while,disgust
cheating in a minor geography exam at school,shame
i was not able to see my girlfriend on her birthday and because i was late arriving home from uni i did not phone her as arranged at a certain time she rang in the meantime,guilt
having received an offer to do postgraduate work,joy
taking a trip to crocodile country i fell out of the boat and was motivated by fear of being eaten to perform great swimming feats,fear
last night finding that someone in the house had eaten an entire packet of almonds i had bought for a family treat,anger
the loss of my father as he died of a massive and sudden heart attack,sadness
when after a party celebrating a friends birthday upon leaving i found people outside throwing up and further unconscious,disgust
having had a very heated argument with my sister i began hitting her about the head with a newspaper i was holding,shame
a situation where i stole a friends wife wallet,guilt
winning a tight tennis match one set to play and the team was behind by games we won the last set and won the match by a game,joy
when at school i threw a duster at another child and hit him in the head the blow caused a flesh wound and i was afraid of what would happen to me when the teacher found out the circumstances,fear
finding that a subordinate at work was still not willing to cooperate after discussions to try and resolve an attitude problem,anger
death of the family dog,sadness
we had friends to dinner and one of them threw a beer bottle in the air and it bounced on an expensive table and damaged the table the person did not apologize,disgust
after making a joke about a friends marriage that was too personal,shame
carried out a annalistic act on some windows at an old army location,guilt
arriving in new zealand as a teenager first overseas trip something exhilarating about the change of scenery et,joy
as a child i hiking in reasonably rugged bush and becoming lost for a duration of hours,fear
following an argument with my brother he broke my golf clubs,anger
leaving the house myself and a female friend had shared for months because of the friendship which developed and our approach to each other in occasional instances of several personal crises,sadness
discovering a good friend had lied to me resulting in a detrimental relationship with another person,disgust
no specific instances perhaps having lied as a child resulting in someone else being blamed for the event,shame
leaving university in following exclusion and lying to parentsfriends about reasons for leaving i lying about the fact of having been excluded,guilt
going to a friends wedding and seeing many of my old friends whom i had known before i moved to a new district five years previously,joy
car accident travelling as a passenger along narrow bitumen road at night trying to overtake semitrailer the truck pulled over onto our side and we hit the wet dirt swerved back into the truck back onto the verge over a guide post and into a ditch,fear
at school when i had a shouting argument with a friend over my ability to carry out a particular duty in the correct way without harming her,anger
looking up endofsemester results and finding id failed three out of seven subjects,sadness
when i found out some family friends were embezzling the company they worked for using company petrol and food supplies and claiming furniture and crockery,disgust
when my best friend found out id been lying about something id been doing behind her back,shame
after having told an authority figure a very large lie i was told she believed me because she believed i had never lied to her,guilt
after being away on a holiday for months a friend who lived interstate had remembered when id get back and phoned to welcome me home on the night of my arrival,joy
walking along with a dog barking at you and following you,fear
doing a group assignment and being left to do all the work and take the blame for any mistakes,anger
after training for an australia championship competition for a year and then injuring myself weeks before the competition,sadness
someone ruining someone is property just for the fun of it,disgust
a friend giving me an expensive christian gift while i gave her a cheap one,shame
talking about someone behind their back,guilt
i was captain of the school swimming team the team was only two points in front before the last relay we won the relay which i swam in and thus my team won the championship,joy
i was in about grade i came home from school one day and was told that my mother had skin cancer and would have to go to the hospital straight away,fear
brother provoked anger it was when mother and father were away and we had to look after ourselves he accused me of being selfish and a snob,anger
shifted from melbourne to brisance all my old school friends gave me a party and i had to say goodbye to them all,sadness
was picking up my father from work and on passing through the valley watched three prostitutes walk up and down waiting for someone to pick them up clothing was disgusting,disgust
had a very good friend we grew apart i found myself running her down to other friends,shame
guilt after fighting with my sister for telling her how bad she was,guilt
when i won the under showjumping at the brownfield show the competition was very stiff and there were many riders competing,joy
when i was on holiday walking back to where i was staying at night and two men started closely following me there was nobody around that i could run to,fear
when my mother and father split up i was angry i felt deprived and different from other children at school,anger
i was terribly upset when my kitten got hit by a car he did not die but for several weeks we thought he might have to be put down,sadness
when i heard that one of my good friends when at a party had got herself involved with some very undesirable characters and was experimenting with drugs,disgust
when i had not studied for an exam so i pretended to be sick so i would not have to go to school i lied to my mother she realized i had been lying when she got home from work and found that i had been over to a friends place,shame
when i was young i stole some money from my mothers purse it was not very much but i can remember when she found it gone i felt very guilty,guilt
day i received my the score and acceptance into my chosen course,joy
first day at university i did not know what to expect,fear
at a school dance when my supposed best friend kept walking away from me whenever i came near her,anger
at end of school function to celebrate leaving friends who id known for up to years,sadness
while watching a film of an experimental operation on a cats brain in which the cat had metal pieces protruding from its eyes mouth et to keep the head stable while being cut open,disgust
when my mother asked me to do a job for her which does not require much effort on my part yet i refused for selfish reasons and saw her have to do it,shame
after having been told not to take the car i took it anyway and felt guilty about having taken it,guilt
eating biscuits and drinking milo chocolate energy drink made with milk and usually drunk warm with my friend at college we get on really well do not withhold any feelings about each others friends and are pretty good at cheering each other up when we are homesick,joy
going to a disco by myself to wait for some friends we had separated and had not planned where to meet i was not sure if they were even going to this place so i felt very conscious of being alone,fear
a person ignored my advice did not pay any attention to what was saying she acted as though i was not even there we were doing group work so everybody had the right to speak yet she just ignored me she made me feel insignificant,anger
a friend of mine is having psychiatric problems because of his mothers death ages ago he is really quiet and because it relates back to his childhood i feel sadness for him he does not lead a normal life and it just seems unfair,sadness
at school when the only thing people my age could think of was getting rolling drunk they could not have a good time without firstly getting drunk,disgust
a girl i was with yelled something out to this group of guys i knew it sounded really childish,shame
i did not tell my parents exactly what had made me so late in getting home one night i left out some details and somehow i felt i had lied to them,guilt
getting a good mark for a subject i had worked hard at but expected only a moderate mark,joy
when cleaning up a pile of junk under our house a huge spider a jungle spider ran out near me i do not like even small spiders,fear
at the hardware store trying to convert imperial to metric measurements i made a mistake and did not buy enough tiles for the bathroom i was angry at myself because i hope to be a math teacher,anger
my father died last year after an severe illness,sadness
during the my film session on tuesday one of the films shown was of an experiment on a live cat involving strapping it into a machine for possibly days and doing things to its brain,disgust
several years ago i was caught riding the train without a ticket the stationmistress treated me like a criminal almost,shame
i was walking quite quickly and unthinking through a children playground when a toddler ran in front of me i knocked him over and he hit his head quite hard and began crying,guilt
i got a good reaction from my tutor and tutorial group for a presentation id given that i was very worried about,joy
a man was yelling outside my window at am yelling threats though not to me,fear
going away for the weekend leaving my college room open when i returned several friends had had a party there leaving the mess,anger
passing away of my father,sadness
at a party where the boys were telling revolting stories about the girls they would been with,disgust
getting slightly intoxicated at the ice ball,shame
i felt guilty about going out when i should have been studying for a presentation i had to give on wednesday the next week,guilt
when i received the results from my final examination higher school certificate and received a mark that was beyond my wildest expectations,joy
walking around the university at night by myself having been previously warned of rapes et,fear
when i received the mark well above requirements for the course i wanted to enter yet i was not accepted anger at the injustice of it because i did not receive early release of hic marks,anger
when i left all my friends at school break up knowing we would probably all go our separate ways and none see one another for a long time,sadness
at my father when he yelled and accused my sisters friend over the phone of doing something he did not do or know anything about,disgust
when i was little and did not own up to placing a lolly on the varnish this pulled it all off and i did not admit my guilt,shame
i felt guilty when i skipped a two hour practical class i knew i would miss out on more information which i did not know but i could not cope with going,guilt
got through first semester university,joy
at the tender age of eleven a friend and i left a party and proceeded to walk through dark and secluded streets of a bad neighborhood to find a telephone recent spate of horror movie watching had occurred,fear
in a situation whereby a friends actions were deliberately against my wishes and with no regard to my feelings,anger
i broke up with my boyfriend of seven months but it was a very depth relationship and so after feelings of grief and loss were over i felt an immense sadness,sadness
a situation where i ignored my beliefs and principles for a trip of whimsy,disgust
i became involved with a boy for a very brief moment not because i liked him but because i needed some sort of company the consequences were not as i expected and caused me much shame,shame
ignoring my parentswishes,guilt
getting back with my boyfriend after a year away apart,joy
having my luggage checked at customs,fear
when a friend would not speak to me and would not tell me why,anger
thinking about friends overseas,sadness
hearing of a filthy situation over the phone,disgust
sending pictures home when id put on so much weight,shame
borrowed someone else towel without asking,guilt
when i opened my the score envelope and saw i got into physiotherapy,joy
when i was bringing in the shopping and nearly stood on a snake,fear
when i was accused of bitching about best friend,anger
at our senior dinner separated from school friends nothing will ever be the same again,sadness
at a night club watching little tarts trying to earn a living,disgust
when i was little mum caught me telling a lie about who broke the cup,shame
when i used to tell mum i was going somewhere else than where i was going,guilt
when my brothers had passed all of their exams and were able to graduate from their courses,joy
when i was caught in an elevator and it got stuck between floors,fear
when i was put into a tennis team below my standard,anger
when my father died,sadness
when i have seen people very drunk and making fools of themselves,disgust
when my friends were rude to a girl,shame
when i was rude to my mother and got angry with her,guilt
when my present boyfriend asked me initially to go out with him i had waited a long time for this to occur,joy
when somebody broke into our home one night when my mother was out and my sister and i had just gone to bed,fear
when my sister lost my favorite jumper at a party and failed to tell me for several days after it happened,anger
when my father passed away of cancer i was extremely saddened he was not very old which made matters worse the actual death was horrendous but the moving funeral saddened me more so,sadness
when walking along the beach with my boyfriend we saw people having sex on the sand dunes in full view of everyone it was the fact that they chose that area in which to have sex that disgusted me,disgust
when i told my sister i had slept with my boyfriend and she at first was mad at me i then felt shame for this act but not guilt,shame
i stayed at the coast for a weekend with friends my brother came to drive me home but was rude and in a hurry to rejoin his friends i was embarrassed because the family involved was extremely nice and hospitable to him,disgust
i allowed my then boyfriend to touch me if only briefly,shame
i ate biscuits one night after tea while watching to i do not know why,guilt
when i saw my brother in church and publicly accept jess christy as his saviour and lord,joy
i was seven years old and swimming outside the flags at the gold coast i was caught in a rip and taken out about m i could not swim too well but an older friend swam out and saved me,fear
while at school i had to write an essay for doing something wrong that i did not do i wrote the essay about how i was mistreated and got sturdy morning detention along with a few other kids but they did not show up,anger
when one of my closest friends died expectantly,sadness
when i saw a male engineer one year and came back to find he was now a female i do not know them personally,disgust
when dad went to a sports day and was the only parent there and he was cheering for us,shame
we owned a shop and i used to serve in it occasionally we sometimes took lollies out of the stand and dad caught me one day,guilt
on holidays just driving along a road beautiful scenery just with my boyfriend not really talking but just feeling overwhelmed,joy
lying to a friend about something that was trivial,shame
i had promised to do a task for someone that was close to me and from the outset i knew it was important that i do it but when it came to it i let them down,guilt
good news about a sick relative,joy
walking in the dark by myself,fear
getting terrible meals but paying heaps for them,anger
when felt lonely about writing my family,sadness
person talking about a situation while eating,disgust
felt it after i spoke terribly got mad at the person who is the most important in my life,shame
not giving up something for lent,guilt
when i received my the score and my acceptance from university it had been a goal since i left the bank a year earlier,joy
every time i see a spider or a snake,fear
my younger brother and i had been fighting over the video he kept on turning it on and off every seconds and was not listening to my authority and was being cheeky we fought and i ended up in tears he would won,anger
the first time i left home,sadness
on a camp boys and girls in one cabin one guy forced himself upon another girl and was having intercourse while the girl in the bunk beneath was pretending to be asleep and not be ill,disgust
when my new jeans split while i was with the youth group,shame
when i was i told mum i came in at midnight when really it was,guilt
cannot remember specific event besides just being moderately happy until a year or so ago,joy
left alone in dark when young,fear
cannot remember exact example,anger
close relative is dying of cancer found out last week,sadness
doctors ignored relative who complained about pain and is now dying of cancer,disgust
one of my best friendsfianct broke off the relationship because his feelings for me were stronger than for her i felt the same for him but did not really encourage him to leave her or stay with her still felt shame,shame
after the fact that made me ashamed i felt sadness,sadness
a person that eat half of a cockroach in a cake without knowing it,disgust
a situation where we were the center of attention and things happened without my control on them that showed our disagreement and ignorance,shame
when i let a person assume a fault that i committed,guilt
when finally i found a place to live i felt relieved predicting changes in my life and i became happy,joy
when i dreamed that i was being attacked by a friend,fear
when i was left by the person i loved without any reason,anger
to fight with a sister and to know that she does not care,sadness
to be kissed by somebody i did not expect to,disgust
a day when i was getting out of the shower i covered only the front part of my body with a towel i was years old and i did not see that my cousin was in the room,shame
when i finished a love affair where i was responsible of the sad end,guilt
i felt it when i received a letter telling that i had been classified in a national concourse of p i felt happy and vanity about it,joy
i felt fear when once i was asleep and dreamed that i was dying affiliated by a cardiac attack i was afraid and woke up desperate although i was not afraid of death i was afraid,fear
i feel it when i see that somebody is trying to made a stupid of me,anger
i felt it when i was at home and saw a discussion without sense between my parents,sadness
when i see all the putridness of people the fact is the catarrh and spits that wash the streets of spatula,disgust
i felt it when i felt that i was being observed as an object of pleasure sexual when i opened and took off a shirt in a classroom at pic,shame
i felt it when playing i pushed my brother and he fell down cutting himself in pieces of tile,guilt
when i asked my girlfriend to marry me,joy
when i almost drowned myself in the municipal swimming pool that i use to go almost not escaping,fear
i was with my girlfriend when some guys that i do not like made fuss at my girl,anger
the death of my grandfather,sadness
to go through the underground way at suburb station of lap poor people and the ambulant badly dressed up in a passage badly kept,disgust
in a fight with my girlfriend in a luncheonette where everybody stared at me in such a way that i had to leave it,shame
i pointed a failure of a friend of mine,guilt
when i met a friend that i had not seen for some time,joy
when i got in jungle where there was a great number of snakes,fear
when an unknown person provoked me verbal and physically,anger
when my team lost a championship,sadness
a dirty person smelling bad and unknown laying on me,disgust
i confused a girl with another,shame
once when i complained i caused a great discussion between my parents,guilt
when i began to date a boy with whom i am till now this was months ago,joy
i learned that my girlfriend had been unjustly missed from work,anger
i got separated from the man i loved,sadness
an acquaintance of mine revealed himself in a light unexpected to me,disgust
once as a school girl i was copying at a class work and my teacher spotted me,shame
i was in a sanatorium in front of me a boy fell down from his invalids chair i could help him but i did not i felt like being paralyzed,guilt
when i took my entrance exams successfully and also when i got my school leaving certificate because the delivering ceremony was extremely official,joy
when i was to sit for my first entrance exam i had fear of a possible failure,fear
i was indignant at the impartiality shown by the referees at the football match between bulgaria and france,anger
when i got separated from the man i loved so much,sadness
when i was watching some scenes from the bertoluchis film twentieth century,disgust
when i was a school girl and i copied at a class work,shame
when i have sometimes been unfair to my parents when i have happened to deceive them over some trifling things,guilt
when i was admitted to the sofa university,joy
when i come home late at night,fear
when i talk to silly pettyminded and unmanageable people,anger
when my friend girl went abroad for two years,sadness
when i happen to witness some sadistic acts,disgust
when i have a plain appearance,shame
when someone is accused or punished instead of me,guilt
i was admitted to the university and a niece was born to me,joy
i was bitten by a dog,fear
my grandfathers funeral,anger
i was alone at home on new years eve,sadness
i was on a walk with my child when i met a drunk woman,disgust
i was unaware that i had walked the streets in torn trousers,shame
once i worked as a designer a fitter was hard hit in a damage that occurred at the building site i had designed,guilt
my admittance to the university,joy
a grenade blew out next to me,fear
an unjust calumny concerning me,anger
unrealisation of the desired profession aviator,sadness
disgust with a subordinate,disgust
i lied to a friend,shame
betraying someone is trust,guilt
friends fiancé left her for me,guilt
winning queensland chess championship,joy
when in a car accident where car was total wipe off wipe out or write off,fear
with self at losing an important game that i should have won,anger
death of grandfather unexpected,sadness
someone smoking on electric train electric trains are nonsmoking with alcohol smell coming from person,disgust
when bathing at surf beach lost togs,shame
promising someone to do their job and then not being able to do it due to transport troubles,guilt
receiving a very personal letter from a lady that i like which revealed that she was more enthusiastic about me than i had thought possible,joy
introducing myself at a first tutorial this year at university,fear
i was angry at a university tutorial when an ignorant loudmouth persisted in trying to dominate the conversation,anger
i left my home in melbourne to come to land to study and before i hopped in the car i hugged my mother and shook hands with my father sensing immediately my fathers sadness i also had a flood of the same emotion,sadness
when one of my parents verbally personally abused the other,disgust
i felt something akin to shame after a heavy night of drinking along with waking up with a woman i had just met whose husband was an epileptic i was later to know that she knew my mother,shame
i felt guilty about talking negatively and agreeing with a person who was doing likewise about a nonpresent third person,guilt
being in love for the first time,joy
as a child stepping on a rusty nail being told that i might get tetanus,fear
as a child about years old walking across a paddock being set upon by another boy who claimed it was his land being intimidated by the boy crying being punched et,anger
as a child having a dog it getting a disease and dying,sadness
being in a malaysia city with my girlfriend coming out of a picture theatre seeing her rush up to a taxi that a very old sick man was trying to get to seeing her take over the taxi,disgust
as a child being sent to the shop by mother buying some chocolate getting caught by mother,shame
as a child accidentally stepping on a pet guineapig it dying,guilt
when i achieved my first at university after a long string of and is the highest mark awarded is a conceded pass,joy
one night going downstairs and hearing a strong stirring of branches which was not the wind,fear
i was informed by my flatmate that when wed moved into our flat she would expected us to buy our food separately this event actually happened some months after our sharing began prior to this she had said nothing,anger
having to decide on a termination of a pregnancy after discussing it with friends family and the man involved,sadness
when a friend did not invite her own parents to her graduation ceremony,disgust
saying something quite rude but in jest about a photograph of someone but it did not quite turn out that way,shame
when i was about years old i borrowed a can of drink from the refrigerator intending to replace it later that day but it was found missing before i could do anything no one owned up to its disappearance,guilt
when i was a child my beloved cat gave birth to four beautiful little kittens before she had them she came up to me and i followed her out then witnessed them being born,joy
on embarking on university life i came from a different city and did not know anybody at the uni i was frightened because my well known and loved friends also all my security had been taken away,fear
when my brothers were being cruel to my boyfriend because his flatmate bent back one of my brothers fingers it was not his fault,anger
upon moving away from home for the first time to a different city i felt no longer under the wing of my parents even though they would always be there to help me i felt a sense of loss i was now all alone in the world responsible for my own actions,sadness
i was sitting at a rock concert listening to an extremely loud band a tiny baby in a crawler had been left by his young mother right out in the sun next to a speaker and was screaming probably in pain,disgust
because i was lazy and unthoughtful i did not get into contact with a very close friend when she shifted from the gold coast to brisance for a month despite her efforts to contact me i felt shamed when i finally confronted her again,shame
when i felt i had let my parents down especially my mother by having sexual intercourse for the first time and a few times after that also when i went on the pill,guilt
the weekend after i argued with my parents i went home again and they could not have been nicer as soon as i walked in mum kissed me then dad and thanked me for the birthday presents id left for him including a very sentimental birthday card,joy
before uni started i had to leave home and take up residence in brisance the big smoke leaving home my family and moving to such a big place was quite intimidating at first and i was anxious about it,fear
my flatmate was asking questions about my relationship with my boyfriend whether i was not treating him as unfairly as i claimed he would been treating me as a result i was angered and became defensive,anger
a very close friend from victoria visited me over the holidays having enjoyed his company immensely over short days i was overwhelmed by sadness when he left to return to victoria,sadness
one of my flatmates and i came back to the flat money morning to find a real mess left by the guy we share with,disgust
first weekend back home after one week at uni i scolded one of my sisters best friends for using our telephone very silly but i was annoyed because she was there at a time when i needed to be with my family,shame
when my historian friend was staying at my house we ere going places together and sleeping together at the time i had a boyfriend locally the first time i had to face him after sleeping with the guy from melbourne i felt very guilty,guilt
joy of giving birth and of sharing that joy with my husband moments of complete happiness and feelings of so much love,joy
attempted rape by guys held my arms behind my back and molested me constantly threatening to beat me penetration did not occur as the driver of the car stopped that,fear
anger at doctors for their treatment of me after giving birth they left part of placenta behind and i bled heavily for twelve weeks due to this i felt weak and emotional and they said i needed psychiatric treatment and give me no support,anger
when my son was diagnosed as having cerebral palsy at age he would have to endure so much labelling stigma and discrimination even though his case was relatively mild,sadness
i have an adopted aboriginal sister i felt disgust due to the racism she has been subjected to,disgust
i cannot remember ever feeling shame,shame
when i decided my first marriage had ended and left with the child i felt overwhelmed by guilt as i was separating mother and child,guilt
receiving notification that i had made a successful application to the speech therapy course at uni gave me a very good feeling of achievement and joy,joy
not included on questionnaire,fear
my boyfriend began to date my best friend after they had been seeing each other i found out that he had been sleeping with another girl without my friend knowing i told my friend what he had been doing behind her back,anger
my mother left my father for his best friend and he moved to papua new guinea despite the fact that i am closer to my father than to anyone else in my family i had to move in with my mother and say goodbye to my father not knowing when i would see him again,sadness
when i discovered my mother had been having an affair with my fathers best friend and then ran away with him without even speaking to me about what she was doing letting me come home from school simply to find her gone i was filled with disgust and contempt,disgust
i recently became sexually involved with my sisters lover i care for him very much but i am ashamed of the hurt i may cause her,shame
i once stole a shirt from the department store in which i work i have been promoted to work in a very privileged section of the store their belief in my integrity makes me feel even guiltier,guilt
seeing a close friend who had just returned from twelve months overseas,joy
finding myself alone in a public toilet block with a man known to have had great psychological disturbances,fear
after seeing an uncertain child work on a model for several hours i watched a bully of the same age destroy it telling the child that it was worthless,anger
leaving home to move closer to university as an oldest child this experience was traumatic for both my parents and myself,sadness
viewing the results of senseless vandalism to a local primary school,disgust
i slept with a man purely because i found him physically attractive and was under the influence of alcohol,shame
inventing a fictitious series of events as a result of which i ended up in a conflict with my two closest friends,guilt
when i finished my exams after grade i was worried about getting a the score high enough for physiotherapy when i found that i had been accepted i was ecstatic or more appropriately could jump for joy,joy
when going for my drivers licence for the third time because everything it seemed hinged on getting it i was really nervous and the testing officer made me a little afraid as well there were lots of things to worry about i passed however,fear
when a called friend let me down when she promised to tell me when a certain concert was occurring and that she would get me tickets i was really looking forward to it she did nothing just told me out of the blue one day what a fantastic concert it was going to be,anger
when my family heard that my mothers cousin who lives in inland wrote us to tell that he had cancer of the lymph glands,sadness
when i found out how the people of ethiopia were starving and their government was spending millions on celebrating being in power so many years then i saw all these people on to needing food et,disgust
i went to visit mongoose home for crippled children to interview a handicapped child i interviewed two boys and it went really well i promised i would visit them but never got the time now i hope they have forgotten me but i feel ashamed of letting them down,shame
i was driving my parents car into a carpark in front of a shop we own and scraped the corner of the front panel on the back corner of my fathers utility i did not tell anyone i lied about the bump later i had to confess,guilt
two years ago somebody i like very much wanted to give up his studies i tried to make him understand the importance of what he was going to do not only of the difficulty to find a job but also because he will decrease his culture et this person made the test to the college entrance examination and to our great joy we found out that he succeed in entering at the university,joy
one night when i got out from the university i saw two strange people near my car when i got near they moved away and then came close again i had a feeling that they were assaulter after i left i discovered that the windshield was broken,fear
one day in a crossroad somebody crashed my car i got out and this person laughed at me i felt such a great anger that i got in my car and went away,anger
i do not know why suddenly i thought that what i was feeling for my boyfriend was not really love after almost three years being together this matter of fact shake me and i felt a great sorrow that i can call sadness,sadness
returning home in the late afternoon i saw an indecent act made by a man with the purpose that i saw it,disgust
in a school parting we agreed to go to a restaurant we met at school and we separated us in several cars my car broke and we arrived late all those who already had arrived stand up and applauded us when we entered two hours late all the restaurant attention was turned on us,shame
when i was a little girl about eight years old i broke the bey from a closed mother asked who did it i said that it was not me as i almost never lied and my brother did it more frequently in spite my brother denying it my mother gave him a few slaps,guilt
when i entered at the university,joy
one night i and my friends went to the cemetery we stopped the car in front of the wall and suddenly the grave digger appeared over the wall looking like a ghost i was already afraid and almost died,fear
when one teacher unjustly gave me zero in a test saying that i was cribbing,anger
when my grandmother died,sadness
i went to a restaurant with my boyfriend for dinner there we saw a couple the man of the couple was a negro and he had not manners for eat,disgust
when the teacher asked me to read my composition that was the homework i stood up and invented one because i had not done it a colleague saw that in my copy book there was nothing written and he accused me and so i was called in the directors room,shame
when i took away my best friends boyfriend,guilt
when in the end of a semester i got the approval in a matter that i judged very difficult,joy
crossing a street of several ways the cars began to move and i thought that i was going to be trampled,fear
i went to the school library and asked for a book but the librarian told me that there was not such however when an other colleague asked for it she gave it to him,anger
some colleagues decided to go out on a sturdy not inviting me to decide either the place nor the time,sadness
a teacher giving a test was called by a student by his first name he the teacher said that he did not give him this liberty,disgust
